id	eng	amh	gaz	kqy-latin	kqy-ethiopic	hdy	ktb	sid	kbr
epiphany+2	2nd Sunday after Epiphany	ከጥምቀት በኋላ 2ኛ እሑድ	Cuuphaa Booda Sanbata Guddaa 2ffaa	Xhinqateme e geede lakkunxo Anke	ጽንቀቴሜ ኤ ጌዴ ለኩንሦ አንኬ	Ximqatiinsi Lasage La’m Abba’a	Xinqati Ayyaani Bareechchi zakkiin Lanki Abbata	Xammaqamate gedensaanni 2kki Sambata	
epiphany+3	3rd Sunday after Epiphany	ከጥምቀት በኋላ 3ኛ እሑድ	Cuuphaa Booda Sanbata Guddaa 3ffaa	Xhinqateme e geede hayxo Anke	ጽንቀቴሜ ኤ ጌዴ ሀይሦ አንኬ	Ximqatiinsi Lasage Saxxi Abba’a	Xinqati Ayyaani Bareechchi zakkiin sakki Abbata	Xammaqamate gedensaanni 3kki Sambata	
epiphany+4	4th Sunday after Epiphany	ከጥምቀት በኋላ 4ኛ እሑድ	Cuuphaa Booda Sanbata Guddaa 4ffaa	Xhinqateme e geede oyxo Anke	ጽንቀቴሜ ኤ ጌዴ ኦይሦ አንኬ	Ximqatiinsi Lasage Soo’l Abba’a	Xinqati Ayyaani Bareechchi zakkiin Shoolki Abbata	Xammaqamate gedensaanni 4kki Sambata	
epiphany+5	5th Sunday after Epiphany	ከጥምቀት በኋላ 5ኛ እሑድ	Cuuphaa Booda Sanbata Guddaa 5ffaa	Xhinqateme e geede ichicho Anke	ጽንቀቴሜ ኤ ጌዴ እችቾ አንኬ	Ximqatiinsi Lasage Onti Abba’a	Xinqati Ayyaani Bareechchi zakkiin Ontiqqi Abbata	Xammaqamate gedensaanni 5kki Sambata	
epiphany+6	6th Sunday after Epiphany	ከጥምቀት በኋላ 6ኛ እሑድ	Cuuphaa Booda Sanbata Guddaa 6ffaa	Xhinqateme e geede izzunxo Anke	ጽንቀቴሜ ኤ ጌዴ እዙንሦ አንኬ	Ximqatiinsi Lasage Loh Abba’a	Xinqati Ayyaani Bareechchi zakkiin Lehiqqi Abbata	Xammaqamate gedensaanni 6kki Sambata	
lent-3	3rd last Sunday before Lent (Septuagesima)	ከዐቢይ ጾም የሚቀድም 3ኛ እሑድ	Sanbata Guddaa Soomii Duraa Isa 3ffaa	Malla xhoomase lam’i Ankey attesune esume burona Anke	መለ ጾመሴ ለምእ አንኬይ አቴሱኔ ኤሱሜ ቡሮነ አንኬ	Lob Soommaniinsi Gaassoo Saxxi Abba’a	Kodaade Xooma Afeennohanniichchi Bireen yoo Sakki Abbata	Jawiidi xoominni balaxannohu 3kki Sambata	
lent-2	2nd last Sunday before Lent (Sexagesima)	ከዐቢይ ጾም የሚቀድም 2ኛ እሑድ	Sanbata Guddaa Soomii Duraa Isa 2ffaa	Malla xhoomase bidzi Ankey attesune esume burona Anke	መለ ጾመሴ ብድዝ አንኬይ አቴሱኔ ኤሱሜ ቡሮነ አንኬ	Lob Soommaniinsi Gaassoo La’m Abba’a	Kodaade Xooma Afeennohanniichchi Bireen Yoo Lanki Abbata	Jawiidi xoominni balaxannohu 2kki Sambata	
lent-1	Last Sunday before Lent (Quinquagesima)	ከዐቢይ ጾም የሚቀድም እሑድ (ዘወረደ)	Sanbata Guddaa Soomiin Jalqabamu (Kan Gadi Bu'e)	Malla xhoomase burona Anke	መለ ጾመሴ ቡሮነ አንኬ	Lob Soomma’n Ammaniinsi Gaassoo Abba’a	Kodaade Xooma Afeennohanniichchi Bireen Yoo Abbata (Zawurada)	Jawiidi xoominni balaxanno Sambata (gordunni dirrino)	
lent1	1st Sunday in Lent	የዐቢይ ጾም 1ኛ እሑድ (ቅድስት)	Tibba Soomii Sanbata Guddaa 1ffaa (Qulqullooftuu)	Malla xhooma wogga bidzunxo Anke	መለ ጾመ ዎገ ብድዙንሦ አንኬ	Lob Soomma’n Luxxi Abba’a (Keesamma)	Kodaade Xooma Afeemmahanniichchi zakkiin Yoo Wona Abbata (Keesichchu)	Jawiidi xoomira 1kki Sambata (qullaawa barra)	
lent2	2nd Sunday in Lent	የዐቢይ ጾም 2ኛ እሑድ (ምኵራብ)	Tibba Soomii Sanbata Guddaa 2ffaa (Mana Sagadaa)	Malla xhooma wogga lakkunxo Anke	መለ ጾመ ዎገ ለኩንሦ አንኬ	Lob Soomma’n La’m Abba’a (Wixxixxi Beyyo)	Kodaade Xooma Afeemmahanniichchi zakkiin Yoo Lanki Abbata (Mikuraaba)	Jawiidi xoomira 2kki Sambata (mikuraabi / Ayihudete manni Xaadanno Mine)	
lent3	3rd Sunday in Lent	የዐቢይ ጾም 3ኛ እሑድ (መፃጉዕ)	Tibba Soomii Sanbata Guddaa 3ffaa (Dhukkubsataa Hubame Tokko)	Malla xhooma wogga hayxo Anke	መለ ጾመ ዎገ ሀይሦ አንኬ	Lob Soomma’n Saxxi Abba’a	Kodaade Xooma Afeemmahanniichchi zakkiin Yoo Sakki Abbata (Maxaagu)	Jawiidi xoomira 3kki Sambata (Metsaagui)	
lent4	4th Sunday in Lent	የዐቢይ ጾም 4ኛ እሑድ (ደብረ ዘይት)	Tibba Soomii Sanbata Guddaa 4ffaa (Gaara Ejersaa)	Malla xhooma wogga oyxo Anke	መለ ጾመ ዎገ ኦይሦ አንኬ	Lob Soomma’n Soo’l Abba’a (Wee’l Duuna)	Kodaade Xooma Afeemmahanniichchi zakkiin Yoo Shoolki Abbata (Dabra Zayita)	Jawiidi xoomira 4kki Sambata (Dabire Zayiti)	
